name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
Amanda Dunlea,33,F-O,61.8,63,72.5,35,120,227.5,6,247.93,October Open 2017,Limerick,2017,amanda dunlea,07/10/2017,18,1183
Amy Donoghue,34,F-JR,56.1,57,107.5,52.5,142.5,302.5,8,355.44,European Classic Championships 2017,Thisted,2017,amy donoghue,12/03/2017,7,776
Amy Hanley,35,F-O,57,57,100,52.5,125,277.5,2,322.01,Munster Open 2017,Limerick,2017,amy hanley,04/02/2017,12,674
Amy Hughes,36,F-O,81.4,84,105,57.5,132.5,295,4,267.38,November Open 2017,Dublin,2017,amy hughes,04/11/2017,16,1255
Amy Nolan,37,F-O,60.2,63,102.5,67.5,147.5,317.5,4,353.07,Nationals 2018,Dublin,2018,amy nolan,10/02/2018,15,1411
Amy O'Gara,38,F-O,70,72,87.5,50,127.5,265,4,263.63,May Open 2017,,2017,amy o'gara,27/05/2017,11,934
Anatol Skiba,39,M-O,97.6,105,200,145,210,555,7,341.16,December Last Chance Open 2017,Limerick,2017,anatol skiba,10/12/2017,6,1293
Andre Du Plessis,40,M-O,145,120+,255,167.5,277.5,700,1,389.17,Athlone Open,Athlone,2016,andre du plessis,03/09/2016,4,296
Andrew Barr,41,M-SR,79.8,83,225,150,265,640,2,437.62,IPF-NIPF All Irelands 2016,Belfast,2015,andrew barr,26/11/2016,9,473
Andrew Blackwood,42,M-O,82,83,180,100,200,480,4,322.73,March Open 2018,Sligo,2018,andrew blackwood,10/03/2018,25,1451
Andrew Gallagher,43,M-O,82.8,83,170,137.5,180,487.5,3,325.87,Leinster Open 2017,Dublin,2017,andrew gallagher,21/01/2017,10,541
Andrew Greer,44,M-O,82.6,83,170,110,200,480,4,321.32,RevFit Open,Dublin,2016,andrew greer,08/10/2016,21,392
Andrew Knox Shiels,45,M-O,100.6,105,200,155,282.5,637.5,1,387.06,November Open 2017,Dublin,2017,andrew knox shiels,04/11/2017,16,1194
Andrew McCartney,46,M-O,102.2,105,227.5,132.5,237.5,597.5,2,360.57,March Open 2018,Sligo,2018,andrew mccartney,10/03/2018,25,1469
Andrew Richardson,47,M-O,103.71,105,250,132.5,270,652.5,5,391.63,1st University Powerlifting World Cup 2016,Minsk,2016,andrew richardson,11/07/2016,1,293
Andrew Roe,48,M-O,78.2,83,215,120,205,540,2,374.08,March Open 2018,Sligo,2018,andrew roe,10/03/2018,25,1449
Andrew Strickland,49,M-O,92.2,93,187.5,107.5,225,520,7,328.01,March Open 2018,Sligo,2018,andrew strickland,10/03/2018,25,1464
Andrew Wilson,50,M-Sen-C,88.9,93,180,125,235,540,2,346.92,Inaugural Comp,Belfast,2015,andrew wilson,30/05/2015,8,9
Andy Mooney,51,M-E,103.4,105,245,177.5,230,652.5,1,392.06,Ulster Open 2017,Belfast,2017,andy mooney,25/02/2017,22,701
Anna Hourihane,52,F-O,51.4,52,125,77.5,150,352.5,2,443.39,National Championships 2017,Belfast,2017,anna hourihane,29/07/2017,14,1042
Anna Marie O'Donoghue,53,F-O,69.4,72,95,50,127.5,272.5,5,272.72,March Open 2018,Sligo,2018,anna marie o'donoghue,10/03/2018,25,1429
Ann-Marie Gaynor,54,F-O,57,57,57.5,30,72.5,160,6,185.66,November Open 2017,Dublin,2017,ann-marie gaynor,04/11/2017,16,1274
Aoife Daly,55,F-O,69.8,72,115,52.5,132.5,300,4,299.04,Athlone Open,Athlone,2016,aoife daly,03/09/2016,4,365
Aoife O'Leary,56,F-O,83,84,150,50,180,380,1,340.92,May Open 2017,,2017,aoife o'leary,27/05/2017,11,914
Aoife O'Sullivan,57,F-O,62.2,63,122.5,65,165,352.5,1,382.26,March Open 2018,Sligo,2018,aoife o'sullivan,10/03/2018,25,1423
Aoife Williams,58,F-O,56.8,57,105,50,125,280,4,325.81,December Last Chance Open 2017,Limerick,2017,aoife williams,10/12/2017,6,1318
April Dardis,59,F-O,55.6,57,100,55,115,270,5,319.47,December Last Chance Open 2017,Limerick,2017,april dardis,10/12/2017,6,1322
Arthur Lynch,60,M-O,90,93,260,180,305,745,1,475.6,November Open 2017,Dublin,2017,arthur lynch,04/11/2017,16,1192
Ashwin Amersi,61,M-G,74.6,83,195,130,230,555,G,396.95,IPF-NIPF All Irelands 2016,Belfast,2015,ashwin amersi,26/11/2016,9,484
Austin Keogh,62,M-O,89,93,160,92.5,195,447.5,17,287.33,Munster Open 2017,Limerick,2017,austin keogh,04/02/2017,12,653
Ava Horrigan,63,F-G,65,72,135,62.5,175,372.5,G,390.79,December Last Chance Open 2017,Limerick,2017,ava horrigan,10/12/2017,6,1309
Barry Kane,64,M-JR,100.97,105,250,175,277.5,702.5,11,425.93,5th World Classic Championships 2017,Minsk,2017,barry kane,15/06/2017,2,958
Barry O'Mahony,65,M-O,79.4,83,155,107.5,190,452.5,6,310.4,Leinster Open 2017,Dublin,2017,barry o'mahony,21/01/2017,10,548
Barry Pigott,66,M-G,101.2,105,300,220,310,830,G,502.76,December Last Chance Open 2017,Limerick,2017,barry pigott,10/12/2017,6,1280
Ben Doyle,67,M-O,91,93,175,125,210,510,7,323.78,Leinster Open 2017,Dublin,2017,ben doyle,21/01/2017,10,532
Ben Harrison,68,M-O,116.2,120,215,150,232.5,597.5,1,346.23,Ulster Open 2017,Belfast,2017,ben harrison,25/02/2017,22,704
Ben Howlett,69,M-U18-C,116.6,120,180,130,210,520,1,301.06,Boyneside Regional Championships,Drogheda,2016,ben howlett,19/06/2016,5,242
Benny Gilligan,70,M-O,81.1,83,190,122.5,230,542.5,2,367.22,September Open 2017,Dublin,2017,benny gilligan,02/09/2017,22,1070
Bernard Doyle,71,M-M1-C,90,93,157.5,122.5,210,490,1,312.81,National Championships 2016,Limerick,2016,bernard doyle,27/02/2016,13,190
Bernard O'Reilly,72,M-O,79.5,83,162.5,122.5,202.5,487.5,1,334.14,ABS Club Championship 2016,Dublin,2016,bernard o'reilly,02/04/2016,3,841
Bernice Flynn,73,F-O,69.2,72,95,65,117.5,277.5,6,278.28,Athlone Open,Athlone,2016,bernice flynn,03/09/2016,4,368
Bill Cullen,74,M-Sen-C,91,93,167.5,107.5,205,480,9,304.73,Novice Open 2016,,2016,bill cullen,23/01/2016,17,108
Billy Ahern,75,M-O,102.4,105,230,142.5,265,637.5,7,384.43,Nationals 2018,Dublin,2018,billy ahern,10/02/2018,15,1360
Brendan Geraghty,76,M-O,90.7,93,185,107.5,195,487.5,11,310,May Open 2017,,2017,brendan geraghty,27/05/2017,11,898
Brian Madden,77,M-O,92.6,93,200,120,272.5,592.5,5,372.97,October Open 2017,Limerick,2017,brian madden,07/10/2017,18,1113
Brian McIntyre,78,M-O,84.4,93,175,102.5,215,492.5,9,325.55,March Open 2018,Sligo,2018,brian mcintyre,10/03/2018,25,1466
Brid O'Sullivan,79,F-G,72.6,84,60,37.5,125,222.5,G,215.98,Munster Open 2017,Limerick,2017,brid o'sullivan,04/02/2017,12,687
Bronagh McPeake,80,F-O,65.6,72,173,87.5,200,460.5,1,479.85,Nationals 2018,Dublin,2018,bronagh mcpeake,10/02/2018,15,1375
Bryan McSpadden,81,M-Sen-C,92.2,93,215,145,230,590,1,372.17,Novice Open 2016,,2016,bryan mcspadden,23/01/2016,17,84
Callum McCormack,82,M-O,77.2,83,170,90,182.5,442.5,5,309.16,September Open 2017,Dublin,2017,callum mccormack,02/09/2017,22,1078
Calum MacLaren,83,M-G,79.8,83,160,92.5,222.5,475,G,324.8,Munster Open 2017,Limerick,2017,calum maclaren,04/02/2017,12,649
Cameron Higgs,84,M-O,99.3,105,250,145,222.5,617.5,2,376.87,September Open 2017,Dublin,2017,cameron higgs,02/09/2017,22,1067
Caoimhe Ryan,85,F-G,77.2,84,122.5,65,137.5,325,G,303.55,University Championships 2017,Cork,2017,caoimhe ryan,25/03/2017,23,815
Caolan McGlade,86,M-O,58.7,59,137.5,87.5,137.5,362.5,1,315.48,September Open 2017,Dublin,2017,caolan mcglade,02/09/2017,22,1081
Carla Wright,87,F-SR,70.2,72,120,90,180,390,2,387.23,IPF-NIPF All Irelands 2016,Belfast,2015,carla wright,26/11/2016,9,497
Carol Lennon,88,F-O,61.6,63,107.5,47.5,125,280,1,305.9,December Last Chance Open 2017,Limerick,2017,carol lennon,10/12/2017,6,1319
Caroline Cunniffe,89,F-O,56.6,57,77.5,45,107.5,230,8,268.37,National Championships 2017,Belfast,2017,caroline cunniffe,29/07/2017,14,1061
Caroline Lynch,90,F-O,50.6,52,97.5,42.5,117.5,257.5,3,327.81,Athlone Open,Athlone,2016,caroline lynch,03/09/2016,4,370
Carrie Carmichael,91,F-JR,67.37,72,130,55,160,345,11,352.59,5th World Classic Championships 2017,Minsk,2017,carrie carmichael,15/06/2017,2,979
Cathal McLoughlin,92,M-O,90.8,93,150,112.5,182.5,445,10,282.82,March Open 2018,Sligo,2018,cathal mcloughlin,10/03/2018,25,1467
Catherine Higgs,93,F-O,112,84+,105,55,117.5,277.5,1,224.79,September Open 2017,Dublin,2017,catherine higgs,02/09/2017,22,1092
Catriona Fitzpatrick,94,F-O,60.4,63,85,47.5,125,257.5,4,285.61,December Last Chance Open 2017,Limerick,2017,catriona fitzpatrick,10/12/2017,6,1325
Chere Duffy,95,F-G,57.6,63,87.5,55,122.5,265,G,304.99,October Open 2017,Limerick,2017,chere duffy,07/10/2017,18,1175
Cheryl Newberry,96,F-SR,70.4,72,120,60,160,340,3,336.93,IPF-NIPF All Irelands 2016,Belfast,2015,cheryl newberry,26/11/2016,9,503
Chloe-Jade McDonald,97,F-O,55.2,57,122.5,67.5,163,353,1,420.05,Nationals 2018,Dublin,2018,chloe-jade mcdonald,10/02/2018,15,1398
Chris Clarke,98,M-O,72,74,167.5,100,205,472.5,6,346.68,Ulster Open 2017,Belfast,2017,chris clarke,25/02/2017,22,721
Chris Dawson,99,M-O,100.6,105,140,95,200,435,6,264.11,Ulster Open 2017,Belfast,2017,chris dawson,25/02/2017,22,725
Chris Dowdall,100,M-O,97.4,105,180,130,200,510,8,313.78,Athlone Open,Athlone,2016,chris dowdall,03/09/2016,4,327
Christina Fox,101,F-Sen-C,53.2,57,77.5,55,140,272.5,1,333.75,Novice Open 2016,,2016,christina fox,23/01/2016,17,143
Christopher Goodland,102,M-Sen-E,82,83,195,140,252.5,587.5,1,395.01,Novice Open 2016,,2016,christopher goodland,23/01/2016,17,85
Christopher Wilkinson,103,M-O,73.8,74,205,115,207.5,527.5,2,380.17,October Open 2017,Limerick,2017,christopher wilkinson,07/10/2017,18,1129
Cian Cunningham,104,M-O,80.2,83,162.5,112.5,205,480,10,327.18,Athlone Open,Athlone,2016,cian cunningham,03/09/2016,4,333
Cian Cusack,105,M-O,83,83,150,90,200,440,8,293.7,Leinster Open 2017,Dublin,2017,cian cusack,21/01/2017,10,551
Cian Desmond,106,M-Sen-C,82.2,83,165,135,192.5,492.5,3,330.65,Boyneside Regional Championships,Drogheda,2016,cian desmond,19/06/2016,5,245
Cian Linehan,107,M-O,82,83,135,92.5,192.5,420,14,282.39,Munster Open 2017,Limerick,2017,cian linehan,04/02/2017,12,656
Cian Murphy,108,M-O,73,74,125,90,185,400,12,290.54,October Open 2017,Limerick,2017,cian murphy,07/10/2017,18,1153
Cian O'Connor,109,M-D,102.2,105,0,0,190,190,1,114.66,RevFit Bench and Deadlift,Dublin,2016,cian o'connor,09/10/2016,20,428
Cian O'Shea,110,M-O,81.8,83,145,87.5,185,417.5,9,281.13,March Open 2018,Sligo,2018,cian o'shea,10/03/2018,25,1456
Cian Slevin,111,M-O,80.8,83,185,102.5,180,467.5,2,317.18,ABS Club Championship 2016,Dublin,2016,cian slevin,02/04/2016,3,844
Ciara Murray,112,F-O,51.4,52,80,45,105,230,2,289.3,Leinster Open 2017,Dublin,2017,ciara murray,21/01/2017,10,599
Ciara Reynolds,113,F-O,71.2,72,87.5,50,105,242.5,6,238.47,May Open 2017,,2017,ciara reynolds,27/05/2017,11,944
Ciaragh Kehoe,114,F-Sen-C,56.6,57,70,37.5,115,222.5,2,259.62,Novice Open 2016,,2016,ciaragh kehoe,23/01/2016,17,156
Ciaran Brennan,115,M-O,79.4,83,110,80,135,325,14,222.94,Leinster Open 2017,Dublin,2017,ciaran brennan,21/01/2017,10,577
Ciaran Lowe,116,M-O,96.8,105,185,115,200,500,8,308.44,November Open 2017,Dublin,2017,ciaran lowe,04/11/2017,16,1215
Ciaran Murphy,117,M-O,100.8,105,160,115,220,495,9,300.3,Athlone Open,Athlone,2016,ciaran murphy,03/09/2016,4,330
Ciaran Murray,118,M-O,65.2,66,172.5,95,200,467.5,3,370.8,Nationals 2018,Dublin,2018,ciaran murray,10/02/2018,15,1374
Ciaran O'Donoghue,119,M-O,116.6,120,215,130,250,595,2,344.48,Athlone Open,Athlone,2016,ciaran o'donoghue,03/09/2016,4,306
Ciaran White,120,M-U23-C,66.4,74,110,75,162.5,347.5,3,271.51,Open Championships,Dublin,2015,ciaran white,08/08/2015,19,57
Cillian Hurley,121,M-SEN-C,101.6,105,265,157.5,305,727.5,2,440.01,National Championships 2016,Limerick,2016,cillian hurley,27/02/2016,13,170
Claire Caulfield,122,F-O,60,63,102.5,55,137.5,295,4,328.89,November Open 2017,Dublin,2017,claire caulfield,04/11/2017,16,1254
Claire Kelly,123,F-O,65.6,72,115,65,132.5,312.5,1,325.63,October Open 2017,Limerick,2017,claire kelly,07/10/2017,18,1165
Claire Lyons,124,F-Sen-C,46,47,75,42.5,100,217.5,1,297.04,Open Championships,Dublin,2015,claire lyons,08/08/2015,19,79
Claire Mc Glynn,125,F-O,63,63,145,65,170,380,1,408.1,RevFit Open,Dublin,2016,claire mc glynn,08/10/2016,21,400
Claire McConnell,126,F-O,55.8,57,75,47.5,95,217.5,2,256.63,Athlone Open,Athlone,2016,claire mcconnell,03/09/2016,4,376
Clare Duffy,127,F-O,71.8,72,85,50,125,260,3,254.24,October Open 2017,Limerick,2017,clare duffy,07/10/2017,18,1178
Clare O'Donoghue,128,F-O,57,57,92.5,50,112.5,255,2,295.9,May Open 2017,,2017,clare o'donoghue,27/05/2017,11,939
Clare Patterson,129,F-O,71,72,147.5,105,157.5,410,5,403.95,Nationals 2018,Dublin,2018,clare patterson,10/02/2018,15,1384
Cliona Wrenne,130,F-O,61.7,63,70,40,110,220,10,240.05,May Open 2017,,2017,cliona wrenne,27/05/2017,11,947
Clodagh Cecil,131,F-O,101.4,84+,132.5,67.5,155,355,1,294.4,October Open 2017,Limerick,2017,clodagh cecil,07/10/2017,18,1157
Clodagh Greene,132,F-O,66.6,72,90,40,110,240,8,247.33,March Open 2018,Sligo,2018,clodagh greene,10/03/2018,24,1432
Clodagh Higgins,133,F-O,82.6,84,50,65,85,200,3,179.88,March Open 2018,Sligo,2018,clodagh higgins,10/03/2018,24,1436
Clodagh Hunt Cecil,134,F-O,97.6,84+,115,62.5,140,317.5,2,266.32,ABS Club Championship 2016,Dublin,2016,clodagh hunt cecil,02/04/2016,3,852
Colin Eustace,135,M-O,87,93,245,135,290,670,5,435.42,Nationals 2018,Dublin,2018,colin eustace,10/02/2018,15,1346
Colin Power,136,M-O,113.8,120,275,180,300,755,2,439.94,Nationals 2018,Dublin,2018,colin power,10/02/2018,15,1336
Colin Reay,137,M-O,102,105,160,115,200,475,5,286.86,Munster Open 2017,Limerick,2017,colin reay,04/02/2017,12,650
Colin Wright,138,M-M1,116.8,120,295,170,320,785,1,454.29,IPF-NIPF All Irelands 2016,Belfast,2015,colin wright,26/11/2016,9,467
Colm Curley,139,M-O,71.9,74,180,90,200,470,2,345.2,May Open 2017,,2017,colm curley,27/05/2017,11,904
Colm Duignan,140,M-Sen-C,92.6,93,180,115,207.5,502.5,7,316.31,Novice Open 2016,,2016,colm duignan,23/01/2016,17,102
Colm McKeown,141,M-Sen-C,63,66,82.5,62.5,100,245,3,200.08,Novice Open 2016,,2016,colm mckeown,23/01/2016,17,151
Connor Meyler,142,M-U23-C,113.6,120,225,147.5,252.5,625,1,364.37,National Championships 2016,Limerick,2016,connor meyler,27/02/2016,13,178
Conor Boyle,143,M-O,81.6,83,152.5,92.5,170,415,10,279.86,March Open 2018,Sligo,2018,conor boyle,10/03/2018,25,1457
Conor Campbell,144,M-O,79.4,83,160,110,195,465,11,318.97,Athlone Open,Athlone,2016,conor campbell,03/09/2016,4,338
Conor Devilly,145,M-O,72,74,205,145,240,590,1,432.89,Nationals 2018,Dublin,2018,conor devilly,10/02/2018,15,1365
Conor Fitzgerald,146,M-O,102.4,105,195,140,230,565,5,340.71,Athlone Open,Athlone,2016,conor fitzgerald,03/09/2016,4,313
Conor Gelston,147,M-SR,71,74,162.5,100,192.5,455,1,337.33,IPF-NIPF All Irelands 2016,Belfast,2015,conor gelston,26/11/2016,9,493
Conor Gill,148,M-O,110.4,120,175,100,180,455,4,267.47,November Open 2017,Dublin,2017,conor gill,04/11/2017,16,1227
Conor Kennedy,149,M-Sen-C,79.6,83,162.5,110,205,477.5,7,327.02,Novice Open 2016,,2016,conor kennedy,23/01/2016,17,109
Conor Kennedy,150,M-O,91,93,217.5,132.5,237.5,587.5,3,372.98,March Open 2018,Sligo,2018,conor kennedy,10/03/2018,25,1460
Conor Markey,151,M-O,113,120,185,87.5,200,472.5,1,275.87,March Open 2018,Sligo,2018,conor markey,10/03/2018,25,1475
Conor McEneaney,152,M-O,79.4,83,142.5,100,195,437.5,11,300.11,November Open 2017,Dublin,2017,conor mceneaney,04/11/2017,16,1230
Conor Meyler,153,M-U23-C,111.8,120,222.5,135,245,602.5,1,352.85,Inaugural Comp,Belfast,2015,conor meyler,30/05/2015,8,4
Conor O'Driscoll,154,M-O,81.8,83,172.5,102.5,212.5,487.5,9,328.26,October Open 2017,Limerick,2017,conor o'driscoll,07/10/2017,18,1136
Conor O'Shea,155,M-O,110.5,120,175,85,192.5,452.5,3,265.93,May Open 2017,,2017,conor o'shea,27/05/2017,11,905
Conor Somerville,156,M-O,126,120+,185,122.5,225,532.5,1,302.96,November Open 2017,Dublin,2017,conor somerville,04/11/2017,16,1205
Cora O Carroll,157,F-Sen-C,67.4,72,77.5,40,102.5,220,3,224.78,Boyneside Regional Championships,Drogheda,2016,cora o carroll,19/06/2016,5,287
Corrina McConnell,158,F-O,70.2,72,90,61,125,276,4,274.04,March Open 2018,Sligo,2018,corrina mcconnell,10/03/2018,25,1428
Craig Chandler,159,M-G,83.8,83,145,100,185,430,G,285.41,November Open 2017,Dublin,2017,craig chandler,04/11/2017,16,1231
Craig McDermott,160,M-O,73.2,74,142.5,90,180,412.5,5,299.03,March Open 2018,Sligo,2018,craig mcdermott,10/03/2018,25,1446
Craig Moore,161,M-O,102.3,105,165,0,180,0,DQ,0,September Open 2017,Dublin,2017,craig moore,02/09/2017,22,1098
Damian Christie,162,M-O,101.6,105,187.5,127.5,215,530,5,320.55,November Open 2017,Dublin,2017,damian christie,04/11/2017,16,1206
Damian Nam,163,M-O,81.9,83,242.5,145,250,637.5,1,428.95,September Open 2017,Dublin,2017,damian nam,02/09/2017,22,1066
Damien O'Neill,164,M-O,91,93,202.5,140,230,572.5,3,363.46,November Open 2017,Dublin,2017,damien o'neill,04/11/2017,16,1200
Dan Hurley,165,M-O,89.7,93,210,122.5,260,592.5,3,378.89,May Open 2017,,2017,dan hurley,27/05/2017,11,883
Dan Rees,166,M-O,88.6,93,182.5,95,222.5,500,8,321.79,Leinster Open 2017,Dublin,2017,dan rees,21/01/2017,10,535
Daniel Mcalpaca,167,M-O,101.8,105,205,125,260,590,3,356.57,March Open 2018,Sligo,2018,daniel mcalpaca,10/03/2018,25,1470
Daniel McAuley,168,M-O,70.6,74,185,125,212.5,522.5,6,389.02,National Championships 2017,Belfast,2017,daniel mcauley,29/07/2017,14,1018
Daniel McHugh,169,M-O,100.6,105,230,140,250,620,1,376.43,March Open 2018,Sligo,2018,daniel mchugh,10/03/2018,25,1468
Daniel Mowbray,170,M-JR,89.4,93,215,115,230,560,2,358.73,IPF-NIPF All Irelands 2016,Belfast,2015,daniel mowbray,26/11/2016,9,482
Danielle Barr,171,F-SR,84,84,110,47.5,150,307.5,2,274.21,IPF-NIPF All Irelands 2016,Belfast,2015,danielle barr,26/11/2016,9,509
Danielle Gault,172,F-O,71.4,72,105,62.5,132.5,300,10,294.46,National Championships 2017,Belfast,2017,danielle gault,29/07/2017,14,1055
Danielle Goodland,173,F-O,68.8,72,122.5,57.5,150,330,3,332.27,November Open 2017,Dublin,2017,danielle goodland,04/11/2017,16,1245
Danny Lennon,174,M-O,73.4,74,192.5,120,232.5,545,2,394.31,December Last Chance Open 2017,Limerick,2017,danny lennon,10/12/2017,6,1295
Dara Lawler,175,M-O,85,93,142.5,87.5,200,430,7,283.09,University Championships 2017,Cork,2017,dara lawler,25/03/2017,23,804
Daragh King,176,M-U23-C,97.2,105,185,125,200,510,1,314.05,Open Championships,Dublin,2015,daragh king,08/08/2015,19,40
Darragh Hanratty,177,M-O,81.8,83,185,112.5,205,502.5,3,338.36,March Open 2018,Sligo,2018,darragh hanratty,10/03/2018,25,1450
Darragh Hayes,178,M-O,110.8,120,215,140,260,615,1,361.13,May Open 2017,,2017,darragh hayes,27/05/2017,11,880
Darragh Hynes,179,M-O,89.4,93,200,110,207.5,517.5,11,331.5,October Open 2017,Limerick,2017,darragh hynes,07/10/2017,18,1131
Darragh Mulcahy,180,M-O,80.6,83,230,152.5,260,642.5,6,436.58,Nationals 2018,Dublin,2018,darragh mulcahy,10/02/2018,15,1358
Darren Bennett,181,M-O,89.6,93,180,95,230,505,14,323.12,Munster Open 2017,Limerick,2017,darren bennett,04/02/2017,12,644
Darren Enright,182,M-O,76.4,83,175,132.5,207.5,515,4,362.34,University Championships 2017,Cork,2017,darren enright,25/03/2017,23,790
Darren Fehilly,183,M-U18-C,73.6,74,190,100,212.5,502.5,2,362.85,Open Championships,Dublin,2015,darren fehilly,08/08/2015,19,41
Darren Friel,184,M-O,92.2,93,190,107.5,262.5,560,3,353.24,December Last Chance Open 2017,Limerick,2017,darren friel,10/12/2017,6,1292
Darren Horgan,185,M-O,81.6,83,185,125,250,560,3,377.64,October Open 2017,Limerick,2017,darren horgan,07/10/2017,18,1120
Daryl Draper,186,M-O,91.6,93,160,100,190,450,6,284.76,Ulster Open 2017,Belfast,2017,daryl draper,25/02/2017,22,724
Daryll Bailey,187,M-O,90.6,93,150,115,195,460,10,292.68,November Open 2017,Dublin,2017,daryll bailey,04/11/2017,16,1226
Dave Harrington,188,M-Sen-C,89.2,93,160,115,195,470,11,301.42,Novice Open 2016,,2016,dave harrington,23/01/2016,17,112
Dave Looney,189,M-Sen-C,103,105,202.5,92.5,235,530,4,318.91,Boyneside Regional Championships,Drogheda,2016,dave looney,19/06/2016,5,240
Dave Worrall,190,M-O,118,120,240,160,250,650,4,375.2,Nationals 2018,Dublin,2018,dave worrall,10/02/2018,15,1354
David Duncan,191,M-O,97.6,105,220,155,260,635,1,390.34,October Open 2017,Limerick,2017,david duncan,07/10/2017,18,1104
