name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
Connor Meyler,142,M-U23-C,115.6,120,230,135,247.5,612.5,1,355.4,Open Championships,Dublin,2015,connor meyler,08/08/2015,18,33
Graham Norton,282,M-U23-C,91.2,93,210,140,235,585,1,370.99,Open Championships,Dublin,2015,graham norton,08/08/2015,18,34
Sam McLoughlin,559,M-Sen-C,114.4,120,170,147.5,240,557.5,2,324.39,Open Championships,Dublin,2015,sam mcloughlin,08/08/2015,18,35
Adam Keane,6,M-U23-C,73.6,74,215,100,237.5,552.5,1,398.96,Open Championships,Dublin,2015,adam keane,08/08/2015,18,36
Lorcan Everard,419,M-U18-C,73,74,205,110,225,540,1,392.23,Open Championships,Dublin,2015,lorcan everard,08/08/2015,18,37
Jonny Gardner,361,M-Sen-C,82.2,83,185,125,222.5,532.5,2,357.51,Open Championships,Dublin,2015,jonny gardner,08/08/2015,18,38
David McQuillan,197,M-Sen-C,64.6,66,190,120,210,520,1,415.65,Open Championships,Dublin,2015,david mcquillan,08/08/2015,18,39
Daragh King,176,M-U23-C,97.2,105,185,125,200,510,1,314.05,Open Championships,Dublin,2015,daragh king,08/08/2015,18,40
Darren Fehilly,183,M-U18-C,73.6,74,190,100,212.5,502.5,2,362.85,Open Championships,Dublin,2015,darren fehilly,08/08/2015,18,41
Simon Standbridge,608,M-U23-C,88,93,197.5,92.5,210,500,2,322.95,Open Championships,Dublin,2015,simon standbridge,08/08/2015,18,42
Peter Lawrence,526,M-U23-C,91.8,93,162.5,125,212.5,500,3,316.06,Open Championships,Dublin,2015,peter lawrence,08/08/2015,18,43
Deividas Barisas,206,M-U23-C,65,66,177.5,105,215,497.5,1,395.61,Open Championships,Dublin,2015,deividas barisas,08/08/2015,18,44
Jack Ryan,308,M-U23-C,82.4,83,190,92.5,212.5,495,1,331.84,Open Championships,Dublin,2015,jack ryan,08/08/2015,18,45
Louis Warren,424,M-Sen-C,69.8,74,162.5,115,207.5,485,1,364.25,Open Championships,Dublin,2015,louis warren,08/08/2015,18,46
Andrew Richardson,47,M-U23-C,100.2,105,180,100,200,480,2,291.89,Open Championships,Dublin,2015,andrew richardson,08/08/2015,18,47
Daniel McAuley,168,M-U23-C,72.4,74,165,112.5,195,472.5,2,345.27,Open Championships,Dublin,2015,daniel mcauley,08/08/2015,18,48
Michael Worthington,473,M-M1-C,90.2,93,155,105,200,460,1,293.33,Open Championships,Dublin,2015,michael worthington,08/08/2015,18,49
Michael Parry-Jones,471,M-Sen-C,92.6,93,165,100,190,455,1,286.41,Open Championships,Dublin,2015,michael parry-jones,08/08/2015,18,50
Sean Palmer,588,M-U23-C,84.8,93,167.5,102.5,182.5,452.5,4,298.3,Open Championships,Dublin,2015,sean palmer,08/08/2015,18,51
Noel Whelan,498,M-Sen-C,58.6,59,165,100,175,440,1,383.54,Open Championships,Dublin,2015,noel whelan,08/08/2015,18,52
Jonathan Fox,360,M-Sen-C,73.6,74,140,105,185,430,2,310.5,Open Championships,Dublin,2015,jonathan fox,08/08/2015,18,53
Paul McClaren,514,M-M1-C,66,66,120,80,190,390,1,306.23,Open Championships,Dublin,2015,paul mcclaren,08/08/2015,18,54
Louise Kenna,425,F-Sen-C,72,72,140,72.5,157.5,370,1,361.13,Open Championships,Dublin,2015,louise kenna,08/08/2015,18,55
Louise Millar,426,F-Sen-C,63,63,132.5,72.5,145,350,1,375.89,Open Championships,Dublin,2015,louise millar,08/08/2015,18,56
Ciaran White,120,M-U23-C,66.4,74,110,75,162.5,347.5,3,271.51,Open Championships,Dublin,2015,ciaran white,08/08/2015,18,57
Sylwia Majszyk,634,F-Sen-C,69.6,72,110,82.5,150,342.5,2,342.09,Open Championships,Dublin,2015,sylwia majszyk,08/08/2015,18,58
Dermot O'Rourke,207,M-U18-C,57.8,59,110,80,147.5,337.5,1,298.02,Open Championships,Dublin,2015,dermot o'rourke,08/08/2015,18,59
Stephen Duff,619,M-Sen-C,90.2,93,122.5,62.5,145,330,2,210.43,Open Championships,Dublin,2015,stephen duff,08/08/2015,18,60
Aisling Judge,18,F-Sen-C,75.2,84,110,60,130,300,1,284.72,Open Championships,Dublin,2015,aisling judge,08/08/2015,18,61
Anna Hourihane,52,F-U23-C,50.6,52,95,62.5,132.5,290,1,369.18,Open Championships,Dublin,2015,anna hourihane,08/08/2015,18,62
Abigail Cronin,3,F-U23-C,59.2,63,100,65,125,290,1,326.7,Open Championships,Dublin,2015,abigail cronin,08/08/2015,18,63
Rehana Maniar,538,F-M1-C,60.8,63,97.5,57.5,135,290,1,320.02,Open Championships,Dublin,2015,rehana maniar,08/08/2015,18,64
Laura Walsh,400,F-Sen-C,50.6,52,105,57.5,122.5,285,1,362.82,Open Championships,Dublin,2015,laura walsh,08/08/2015,18,65
Kathleen Scully,376,F-Sen-C,78,84,105,55,125,285,2,264.57,Open Championships,Dublin,2015,kathleen scully,08/08/2015,18,66
Glen Purdy,279,M-Sen-C,60.8,66,75,70,140,285,2,240.17,Open Championships,Dublin,2015,glen purdy,08/08/2015,18,67
Medb Murtagh,461,F-U23-C,54,57,97.5,60,122.5,280,1,338.97,Open Championships,Dublin,2015,medb murtagh,08/08/2015,18,68
Jodie McLoughlin,347,F-Sen-C,56.4,57,92.5,52.5,132.5,277.5,1,324.69,Open Championships,Dublin,2015,jodie mcloughlin,08/08/2015,18,69
Orla Ennis,503,F-Sen-C,75.4,84,105,45,127.5,277.5,3,262.93,Open Championships,Dublin,2015,orla ennis,08/08/2015,18,70
Claire Kelly,123,F-U23-C,62.8,63,100,55,120,275,2,296.05,Open Championships,Dublin,2015,claire kelly,08/08/2015,18,71
Amy Donoghue,34,F-U18-C,56.4,57,95,42.5,125,262.5,1,307.14,Open Championships,Dublin,2015,amy donoghue,08/08/2015,18,72
Sinead Heffernan,609,F-Sen-C,61,63,92.5,57.5,112.5,262.5,2,288.95,Open Championships,Dublin,2015,sinead heffernan,08/08/2015,18,73
Miriam Ward,479,F-U23-C,61.4,63,97.5,50,115,262.5,3,287.5,Open Championships,Dublin,2015,miriam ward,08/08/2015,18,74
Bernice Flynn,73,F-Sen-C,67.2,72,85,57.5,120,262.5,3,268.77,Open Championships,Dublin,2015,bernice flynn,08/08/2015,18,75
Jacinta Scully,300,F-M1-C,73.6,84,97.5,47.5,107.5,252.5,1,242.93,Open Championships,Dublin,2015,jacinta scully,08/08/2015,18,76
Leanne Keane,403,F-Sen-C,62.8,63,92.5,47.5,105,245,3,263.75,Open Championships,Dublin,2015,leanne keane,08/08/2015,18,77
Aibhlin Clabby,11,F-U18-C,55.6,57,80,50,90,220,2,260.31,Open Championships,Dublin,2015,aibhlin clabby,08/08/2015,18,78
Claire Lyons,124,F-Sen-C,46,47,75,42.5,100,217.5,1,297.04,Open Championships,Dublin,2015,claire lyons,08/08/2015,18,79
Claire McConnell,126,F-Sen-C,56.8,57,70,42.5,92.5,205,2,238.54,Open Championships,Dublin,2015,claire mcconnell,08/08/2015,18,80
Eleanor Magan,226,F-Sen-C,62.8,63,50,30,77.5,157.5,4,169.56,Open Championships,Dublin,2015,eleanor magan,08/08/2015,18,81
Tara Conlon,637,F-M2-C,61.4,63,35,35,80,150,1,164.28,Open Championships,Dublin,2015,tara conlon,08/08/2015,18,82
Miranda Connolly,478,F-M1-C,115.8,84+,0,0,0,0,DQ,0,Open Championships,Dublin,2015,miranda connolly,08/08/2015,18,83
Bryan McSpadden,81,M-Sen-C,92.2,93,215,145,230,590,1,372.17,Novice Open 2016,,2016,bryan mcspadden,23/01/2016,16,84
Christopher Goodland,102,M-Sen-E,82,83,195,140,252.5,587.5,1,395.01,Novice Open 2016,,2016,christopher goodland,23/01/2016,16,85
Mark Comiskey,442,M-Sen-C,81.6,83,212.5,140,230,582.5,1,392.82,Novice Open 2016,,2016,mark comiskey,23/01/2016,16,86
Nigel Chambers,496,M-Sen-C,95.8,105,210,112.5,250,572.5,1,354.78,Novice Open 2016,,2016,nigel chambers,23/01/2016,16,87
Andrew Knox Shiels,45,M-Sen-C,88,93,185,125,250,560,2,361.7,Novice Open 2016,,2016,andrew knox shiels,23/01/2016,16,88
Paul Keely,511,M-Sen-C,92.2,93,210,130,217.5,557.5,3,351.67,Novice Open 2016,,2016,paul keely,23/01/2016,16,89
Cameron Higgs,84,M-U23-C,98.2,105,220,130,205,555,1,340.28,Novice Open 2016,,2016,cameron higgs,23/01/2016,16,90
Oliver Smith,501,M-U23-C,103.6,105,200,140,210,550,2,330.24,Novice Open 2016,,2016,oliver smith,23/01/2016,16,91
David Duncan,191,M-Sen-C,90.4,93,185,140,220,545,4,347.14,Novice Open 2016,,2016,david duncan,23/01/2016,16,92
Luke Curran,432,M-Sen-C,92.2,93,200,125,220,545,5,343.78,Novice Open 2016,,2016,luke curran,23/01/2016,16,93
Conor Fitzgerald,146,M-Sen-C,103.2,105,190,135,220,545,2,327.7,Novice Open 2016,,2016,conor fitzgerald,23/01/2016,16,94
Ashwin Amersi,61,M-Sen-C,77.2,83,175,137.5,230,542.5,2,379.02,Novice Open 2016,,2016,ashwin amersi,23/01/2016,16,95
Sam Stewart,561,M-Sen-C,82.6,83,187.5,135,215,537.5,3,359.81,Novice Open 2016,,2016,sam stewart,23/01/2016,16,96
Sean Hickey,586,M-U23-C,112.4,120,200,120,215,535,1,312.84,Novice Open 2016,,2016,sean hickey,23/01/2016,16,97
Mark Lynch,448,M-Sen-C,100.2,105,170,120,235,525,3,319.25,Novice Open 2016,,2016,mark lynch,23/01/2016,16,98
Gerard Auld,275,M-Sen-C,81.2,83,182.5,127.5,205,515,4,348.34,Novice Open 2016,,2016,gerard auld,23/01/2016,16,99
Tom Dargle,647,M-Sen-C,125,120+,175,110,230,515,2,293.47,Novice Open 2016,,2016,tom dargle,23/01/2016,16,100
Darragh Hayes,178,M-Sen-C,92.4,93,180,117.5,215,512.5,6,322.94,Novice Open 2016,,2016,darragh hayes,23/01/2016,16,101
Colm Duignan,140,M-Sen-C,92.6,93,180,115,207.5,502.5,7,316.31,Novice Open 2016,,2016,colm duignan,23/01/2016,16,102
Darren Horgan,185,M-Sen-C,80.2,83,175,110,215,500,5,340.81,Novice Open 2016,,2016,darren horgan,23/01/2016,16,103
Luke Cadwell,431,M-Sen-C,91,93,172.5,110,215,497.5,8,315.84,Novice Open 2016,,2016,luke cadwell,23/01/2016,16,104
Stephen Hadden,620,M-Sen-C,101.4,105,205,117.5,175,497.5,4,301.13,Novice Open 2016,,2016,stephen hadden,23/01/2016,16,105
Danny Lennon,174,M-Sen-C,80,83,170,115,205,490,6,334.52,Novice Open 2016,,2016,danny lennon,23/01/2016,16,106
John Donovan,351,M-Sen-C,72.8,84,180,100,200,480,1,349.35,Novice Open 2016,,2016,john donovan,23/01/2016,16,107
Bill Cullen,74,M-Sen-C,91,93,167.5,107.5,205,480,9,304.73,Novice Open 2016,,2016,bill cullen,23/01/2016,16,108
Conor Kennedy,149,M-Sen-C,79.6,83,162.5,110,205,477.5,7,327.02,Novice Open 2016,,2016,conor kennedy,23/01/2016,16,109
Chris Dowdall,100,M-Sen-C,90.4,93,165,120,190,475,10,302.56,Novice Open 2016,,2016,chris dowdall,23/01/2016,16,110
Michael Parry-Jones,471,M-Sen-C,94.2,105,170,110,195,475,5,296.61,Novice Open 2016,,2016,michael parry-jones,23/01/2016,16,111
Dave Harrington,188,M-Sen-C,89.2,93,160,115,195,470,11,301.42,Novice Open 2016,,2016,dave harrington,23/01/2016,16,112
Bernard Doyle,71,M-M1-C,89,93,155,112.5,200,467.5,1,300.17,Novice Open 2016,,2016,bernard doyle,23/01/2016,16,113
James Coogan,315,M-U23-C,71.2,72,157.5,102.5,190,450,1,332.92,Novice Open 2016,,2016,james coogan,23/01/2016,16,114
Robbie Bennett,545,M-U23-C,71.4,72,140,95,200,435,2,321.15,Novice Open 2016,,2016,robbie bennett,23/01/2016,16,115
Brendan Geraghty,76,M-Sen-C,87,93,165,90,180,435,12,282.7,Novice Open 2016,,2016,brendan geraghty,23/01/2016,16,116
Jason Adam Ward,328,M-Sen-C,82.6,83,162.5,75,195,432.5,8,289.52,Novice Open 2016,,2016,jason adam ward,23/01/2016,16,117
James Madden,321,M-Sen-C,63,66,150,105,175,430,1,351.16,Novice Open 2016,,2016,james madden,23/01/2016,16,118
Jack Gallagher,306,M-Sen-C,81.6,83,145,80,205,430,9,289.98,Novice Open 2016,,2016,jack gallagher,23/01/2016,16,119
Peter Elliott,525,M-Sen-C,82.8,83,145,85,185,415,10,277.41,Novice Open 2016,,2016,peter elliott,23/01/2016,16,120
JP McGowan,364,M-Sen-C,72.8,84,155,82.5,172.5,410,2,298.4,Novice Open 2016,,2016,jp mcgowan,23/01/2016,16,121
Stephen McKenna,624,M-U23-C,73.2,84,135,80,185,400,1,289.97,Novice Open 2016,,2016,stephen mckenna,23/01/2016,16,122
Oisin Kelly,500,M-Sen-C,80.6,83,135,80,165,380,11,258.21,Novice Open 2016,,2016,oisin kelly,23/01/2016,16,123
Shannon Pollock,598,F-Sen-C,72,72,142.5,67.5,167.5,377.5,1,368.46,Novice Open 2016,,2016,shannon pollock,23/01/2016,16,124
Mark Daly,443,M-Sen-C,72,74,137.5,85,150,372.5,1,273.31,Novice Open 2016,,2016,mark daly,23/01/2016,16,125
James Keogh,319,M-Sen-C,81.8,83,125,85,160,370,12,249.14,Novice Open 2016,,2016,james keogh,23/01/2016,16,126
Conor Markey,151,M-Sen-C,107.6,120,125,77.5,167.5,370,1,219.27,Novice Open 2016,,2016,conor markey,23/01/2016,16,127
James Lynch,313,M-Sen-C,81.6,83,115,82.5,150,347.5,13,234.34,Novice Open 2016,,2016,james lynch,23/01/2016,16,128
Aisling Judge,18,F-Sen-C,77.2,80,125,62.5,155,342.5,1,319.89,Novice Open 2016,,2016,aisling judge,23/01/2016,16,129
Leslie Hoare,408,F-Sen-C,79,84,110,70,152.5,332.5,1,306.4,Novice Open 2016,,2016,leslie hoare,23/01/2016,16,130
Amy Nolan,37,F-Sen-C,60.8,63,102.5,60,145,307.5,1,339.34,Novice Open 2016,,2016,amy nolan,23/01/2016,16,131
Lina O'Sullivan,412,F-Sen-C,61.2,63,110,60,137.5,307.5,2,337.63,Novice Open 2016,,2016,lina o'sullivan,23/01/2016,16,132
Teanna Watts,640,F-Sen-C,79.4,84,110,57.5,140,307.5,2,282.56,Novice Open 2016,,2016,teanna watts,23/01/2016,16,133
Ailish Marlow,13,F-Sen-C,96.4,84+,115,52.5,140,307.5,1,258.97,Novice Open 2016,,2016,ailish marlow,23/01/2016,16,134
Eoin O Donoghue,240,M-Sen-C,71,74,117.5,65,125,307.5,2,227.97,Novice Open 2016,,2016,eoin o donoghue,23/01/2016,16,135
Lauren Elder,401,F-Sen-C,62.2,63,100,47.5,150,297.5,3,322.62,Novice Open 2016,,2016,lauren elder,23/01/2016,16,136
Carrie Carmichael,91,F-U23-C,70.8,72,100,42.5,150,292.5,1,288.74,Novice Open 2016,,2016,carrie carmichael,23/01/2016,16,137
Aisling Stapleton,21,F-Sen-C,61.8,63,107.5,55,125,287.5,4,313.32,Novice Open 2016,,2016,aisling stapleton,23/01/2016,16,138
Jill Gracey,341,F-Sen-C,66.6,72,105,45,135,285,2,293.71,Novice Open 2016,,2016,jill gracey,23/01/2016,16,139
Aoife Daly,55,F-Sen-C,72,72,100,50,130,280,3,273.29,Novice Open 2016,,2016,aoife daly,23/01/2016,16,140
Rebecca Bennett,533,F-U23-C,61.2,63,100,45,132.5,277.5,1,304.69,Novice Open 2016,,2016,rebecca bennett,23/01/2016,16,141
Elaine Stone,224,F-Sen-C,77.6,84,90,65,122.5,277.5,3,258.39,Novice Open 2016,,2016,elaine stone,23/01/2016,16,142
Christina Fox,101,F-Sen-C,53.2,57,77.5,55,140,272.5,1,333.75,Novice Open 2016,,2016,christina fox,23/01/2016,16,143
Emily Mazilu,232,F-U23-C,55.8,57,100,45,122.5,267.5,1,315.63,Novice Open 2016,,2016,emily mazilu,23/01/2016,16,144
Fiona Walshe,258,F-M1-C,69.6,72,95,47.5,125,267.5,1,267.18,Novice Open 2016,,2016,fiona walshe,23/01/2016,16,145
Eric Killeen,243,M-Sen-C,64.2,66,92.5,75,100,267.5,2,214.95,Novice Open 2016,,2016,eric killeen,23/01/2016,16,146
Gina Lumsden,278,F-U23-C,68.8,72,90,50,122.5,262.5,2,264.31,Novice Open 2016,,2016,gina lumsden,23/01/2016,16,147
Joelle Fagan,349,F-Sen-C,80.8,84,82.5,55,125,262.5,4,238.88,Novice Open 2016,,2016,joelle fagan,23/01/2016,16,148
Vita Chainauskaite,662,F-M1-C,62.4,63,75,55,130,260,1,281.26,Novice Open 2016,,2016,vita chainauskaite,23/01/2016,16,149
Lorna Ward,422,F-Sen-C,71,72,92.5,40,120,252.5,4,248.77,Novice Open 2016,,2016,lorna ward,23/01/2016,16,150
Colm McKeown,141,M-Sen-C,63,66,82.5,62.5,100,245,3,200.08,Novice Open 2016,,2016,colm mckeown,23/01/2016,16,151
Laura Earley,396,F-Sen-C,68,72,85,45,105,235,5,238.59,Novice Open 2016,,2016,laura earley,23/01/2016,16,152
Claire Caulfield,122,F-Sen-C,64.2,72,75,45,112.5,232.5,6,246.18,Novice Open 2016,,2016,claire caulfield,23/01/2016,16,153
Erica Gaffney,245,F-Sen-C,48,52,77.5,50,100,227.5,1,301.31,Novice Open 2016,,2016,erica gaffney,23/01/2016,16,154
Amy Hughes,36,F-Sen-C,81.6,84,75,45,105,225,5,203.67,Novice Open 2016,,2016,amy hughes,23/01/2016,16,155
Ciaragh Kehoe,114,F-Sen-C,56.6,57,70,37.5,115,222.5,2,259.62,Novice Open 2016,,2016,ciaragh kehoe,23/01/2016,16,156
Aisling McManus,20,F-Sen-C,46.6,47,75,45,95,215,1,290.93,Novice Open 2016,,2016,aisling mcmanus,23/01/2016,16,157
Kate Sheehy,374,F-Sen-C,58.4,63,85,37.5,92.5,215,5,244.79,Novice Open 2016,,2016,kate sheehy,23/01/2016,16,158
Jennifer Geary,335,F-Sen-C,61,63,82.5,37.5,90,210,6,231.16,Novice Open 2016,,2016,jennifer geary,23/01/2016,16,159
Lynn Privett,433,F-Sen-C,57.2,63,77.5,40,80,197.5,7,228.55,Novice Open 2016,,2016,lynn privett,23/01/2016,16,160
Aisling Kelly,19,F-U23-C,71.2,72,62.5,42.5,82.5,187.5,3,184.38,Novice Open 2016,,2016,aisling kelly,23/01/2016,16,161
Tara Conlon,637,F-M2-C,61.6,63,42.5,37.5,85,165,1,180.26,Novice Open 2016,,2016,tara conlon,23/01/2016,16,162
Alison May,30,F-Sen-C,54.8,57,55,35,60,150,3,179.51,Novice Open 2016,,2016,alison may,23/01/2016,16,163
Liam Dinan,411,M-Sen-C,82.4,83,0,110,175,0,DQ,0,Novice Open 2016,,2016,liam dinan,23/01/2016,16,166
Shane Manning,594,M-Sen-C,102.8,105,265,0,0,0,DQ,0,Novice Open 2016,,2016,shane manning,23/01/2016,16,164
Sinead O'Connor,611,F-Sen-C,80.6,84,0,60,102.5,0,DQ,0,Novice Open 2016,,2016,sinead o'connor,23/01/2016,16,167
Tony Deeney,651,M-Sen-C,78.2,83,170,95,0,0,DQ,0,Novice Open 2016,,2016,tony deeney,23/01/2016,16,165
Michael Bruce,464,M-SEN-C,102.4,105,285,162.5,300,747.5,1,450.76,National Championships 2016,Limerick,2016,michael bruce,27/02/2016,12,168
Erin Wagner,247,M-SEN-C,130,120+,270,180,290,740,1,418.54,National Championships 2016,Limerick,2016,erin wagner,27/02/2016,12,169
Cillian Hurley,121,M-SEN-C,101.6,105,265,157.5,305,727.5,2,440.01,National Championships 2016,Limerick,2016,cillian hurley,27/02/2016,12,170
Barry Pigott,66,M-SEN-C,92.6,93,250,195,277.5,722.5,1,454.8,National Championships 2016,Limerick,2016,barry pigott,27/02/2016,12,171
Erin George Wagner,246,M-Sen-C,129.5,120+,275,180,262.5,717.5,1,406.1,National Championships 2016,Limerick,2016,erin george wagner,27/02/2016,12,172
Rory Girvan,550,M-SEN-C,90.2,93,262.5,162.5,290,715,2,455.94,National Championships 2016,Limerick,2016,rory girvan,27/02/2016,12,173
Arthur Lynch,60,M-SEN-C,90,93,240,170,300,710,3,453.26,National Championships 2016,Limerick,2016,arthur lynch,27/02/2016,12,174
Sean Ryan,589,M-SEN-C,81.6,83,235,145,272.5,652.5,1,440.02,National Championships 2016,Limerick,2016,sean ryan,27/02/2016,12,175
Mark Dowling,444,M-SEN-C,91.8,93,245,125,270,640,4,404.56,National Championships 2016,Limerick,2016,mark dowling,27/02/2016,12,176
Sean Crowe,580,M-SEN-C,119.4,120,240,137.5,260,637.5,1,366.94,National Championships 2016,Limerick,2016,sean crowe,27/02/2016,12,177
Connor Meyler,142,M-U23-C,113.6,120,225,147.5,252.5,625,1,364.37,National Championships 2016,Limerick,2016,connor meyler,27/02/2016,12,178
Mark Comiskey,442,M-SEN-C,81,83,220,142.5,230,592.5,2,401.37,National Championships 2016,Limerick,2016,mark comiskey,27/02/2016,12,179
Adam Keane,6,M-U23-C,82.4,83,230,117.5,235,582.5,1,390.5,National Championships 2016,Limerick,2016,adam keane,27/02/2016,12,180
Andy Mooney,51,M-U23-G-E,92,93,215,132.5,225,572.5,G,361.51,National Championships 2016,Limerick,2016,andy mooney,27/02/2016,12,181
Lorcan Everard,419,M-U23-C,74,74,215.5,120,220,555.5,1,399.58,National Championships 2016,Limerick,2016,lorcan everard,27/02/2016,12,182
Dan Hurley,165,M-SEN-C,81.4,83,192.5,110,252.5,555,3,374.83,National Championships 2016,Limerick,2016,dan hurley,27/02/2016,12,183
Ashwin Amersi,61,M-SEN-C,75.4,83,187.5,137.5,220,545,4,386.92,National Championships 2016,Limerick,2016,ashwin amersi,27/02/2016,12,184
Oliver Smith,501,M-U23-C,103,105,190,135,215,540,1,324.92,National Championships 2016,Limerick,2016,oliver smith,27/02/2016,12,185
Simon Standbridge,608,M-U23-C,91.4,93,210,105,220,535,1,338.91,National Championships 2016,Limerick,2016,simon standbridge,27/02/2016,12,186
Deividas Barisas,206,M-SEN-C,64.6,66,180,110,217.5,507.5,1,405.66,National Championships 2016,Limerick,2016,deividas barisas,27/02/2016,12,187
Louis Warren,424,M-SEN-C,69.6,74,165,115,215,495,1,372.58,National Championships 2016,Limerick,2016,louis warren,27/02/2016,12,188
Daniel McAuley,168,M-U23-C,71.2,74,167.5,117.5,205,490,2,362.51,National Championships 2016,Limerick,2016,daniel mcauley,27/02/2016,12,189
Bernard Doyle,71,M-M1-C,90,93,157.5,122.5,210,490,1,312.81,National Championships 2016,Limerick,2016,bernard doyle,27/02/2016,12,190
